"TransactionID","AccountID","TransactionAmount","AvgTransactionAmount","HighValueStatus","Location","TransactionDate","TransactionsPerDay","AvgDailyTransactions","FrequencyStatus","LoginAttempts","AvgLoginAttempts","LoginStatus","MultiFactorScore","MultiFactorLabel"
TX000662,AC00006,158.56,254.43,NORMAL,Sacramento,"2023-02-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001406,AC00006,611.15,254.43,NORMAL,Detroit,"2023-08-11",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001977,AC00006,173.13,254.43,NORMAL,Atlanta,"2023-10-05",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000077,AC00007,162.63,299.08,NORMAL,Kansas City,"2023-06-12",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000839,AC00007,637.75,299.08,NORMAL,Dallas,"2023-07-24",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000977,AC00007,466.64,299.08,NORMAL,Las Vegas,"2023-09-04",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001336,AC00007,90.88,299.08,NORMAL,Colorado Springs,"2023-11-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001579,AC00007,137.48,299.08,NORMAL,Seattle,"2023-11-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002005,AC00008,76.16,76.16,NORMAL,San Francisco,"2023-11-21",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000279,AC00009,74.85,196.82,NORMAL,Raleigh,"2023-12-25",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000840,AC00009,153.59,196.82,NORMAL,Portland,"2023-05-04",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000868,AC00009,87.38,196.82,NORMAL,Atlanta,"2023-03-03",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002048,AC00009,425.18,196.82,NORMAL,Fresno,"2023-02-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002512,AC00009,243.08,196.82,NORMAL,Jacksonville,"2023-02-14",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000096,AC00010,508.68,395.52,NORMAL,Mesa,"2023-06-26",2,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX000180,AC00010,34.17,395.52,NORMAL,Philadelphia,"2023-11-21",1,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX000202,AC00010,11.18,395.52,NORMAL,Atlanta,"2023-11-30",1,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX001168,AC00010,838.57,395.52,NORMAL,Phoenix,"2023-06-26",2,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX001737,AC00010,7.56,395.52,NORMAL,Milwaukee,"2023-02-06",1,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX001760,AC00010,1086.6,395.52,NORMAL,San Diego,"2023-05-22",1,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX002367,AC00010,281.91,395.52,NORMAL,Denver,"2023-01-12",1,1.17,NORMAL,1,1.0,NORMAL,0,LOW
TX000045,AC00011,304.31,348.32,NORMAL,Louisville,"2023-07-26",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX000098,AC00011,25.36,348.32,NORMAL,Louisville,"2023-07-17",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX000694,AC00011,733.29,348.32,NORMAL,Virginia Beach,"2023-03-15",1,1.0,NORMAL,5,1.57,FLAG,1,MEDIUM
TX000735,AC00011,117.55,348.32,NORMAL,Fresno,"2023-05-19",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX001015,AC00011,688.36,348.32,NORMAL,Memphis,"2023-06-30",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX001560,AC00011,31.53,348.32,NORMAL,Kansas City,"2023-12-20",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX002023,AC00011,537.86,348.32,NORMAL,Kansas City,"2023-09-19",1,1.0,NORMAL,1,1.57,NORMAL,0,LOW
TX000513,AC00012,8.65,344.63,NORMAL,Las Vegas,"2023-06-05",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000728,AC00012,137.49,344.63,NORMAL,Fort Worth,"2023-07-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001153,AC00012,590.57,344.63,NORMAL,Milwaukee,"2023-06-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001510,AC00012,308.8,344.63,NORMAL,Baltimore,"2023-12-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002047,AC00012,94.82,344.63,NORMAL,Columbus,"2023-03-21",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002152,AC00012,927.45,344.63,NORMAL,Austin,"2023-08-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000107,AC00013,114.98,203.91,NORMAL,Seattle,"2023-11-01",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000576,AC00013,33.46,203.91,NORMAL,Seattle,"2023-02-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000578,AC00013,246.27,203.91,NORMAL,Fresno,"2023-12-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000780,AC00013,138.11,203.91,NORMAL,Phoenix,"2023-12-11",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001010,AC00013,75.04,203.91,NORMAL,El Paso,"2023-07-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001291,AC00013,427.69,203.91,NORMAL,Raleigh,"2023-03-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001980,AC00013,422.81,203.91,NORMAL,Los Angeles,"2023-11-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002156,AC00013,172.92,203.91,NORMAL,Miami,"2023-08-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000022,AC00014,85.77,348.25,NORMAL,Las Vegas,"2023-08-11",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000080,AC00014,174.25,348.25,NORMAL,Seattle,"2023-07-17",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000375,AC00014,643.22,348.25,NORMAL,Atlanta,"2023-05-03",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000520,AC00014,121.91,348.25,NORMAL,Chicago,"2023-06-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000657,AC00014,427.0,348.25,NORMAL,Oklahoma City,"2023-07-31",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000740,AC00014,346.65,348.25,NORMAL,Washington,"2024-01-01",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001234,AC00014,605.42,348.25,NORMAL,Mesa,"2023-06-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002124,AC00014,10.3,348.25,NORMAL,Fresno,"2023-12-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002447,AC00014,719.76,348.25,NORMAL,San Francisco,"2023-03-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001456,AC00015,774.48,287.19,NORMAL,Louisville,"2023-03-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001467,AC00015,73.35,287.19,NORMAL,San Francisco,"2023-03-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001562,AC00015,250.01,287.19,NORMAL,Kansas City,"2023-11-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001620,AC00015,50.9,287.19,NORMAL,Jacksonville,"2023-04-24",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001135,AC00016,26.27,378.66,NORMAL,Portland,"2023-03-17",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001181,AC00016,50.0,378.66,NORMAL,Jacksonville,"2023-02-24",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001542,AC00016,69.96,378.66,NORMAL,Baltimore,"2023-10-16",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001592,AC00016,314.52,378.66,NORMAL,Memphis,"2023-03-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001969,AC00016,705.34,378.66,NORMAL,Washington,"2023-09-12",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002335,AC00016,1105.88,378.66,NORMAL,Omaha,"2023-03-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000952,AC00017,492.84,226.69,NORMAL,Indianapolis,"2023-03-01",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000971,AC00017,215.39,226.69,NORMAL,Detroit,"2023-06-21",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001337,AC00017,60.11,226.69,NORMAL,Albuquerque,"2023-11-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001670,AC00017,261.63,226.69,NORMAL,Chicago,"2023-05-29",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001864,AC00017,103.48,226.69,NORMAL,Baltimore,"2023-01-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000102,AC00018,98.54,552.89,NORMAL,El Paso,"2023-08-11",1,1.0,NORMAL,1,2.33,NORMAL,0,LOW
TX001498,AC00018,1228.81,552.89,NORMAL,San Francisco,"2023-02-20",1,1.0,NORMAL,1,2.33,NORMAL,0,LOW
TX001802,AC00018,331.32,552.89,NORMAL,Sacramento,"2023-06-05",1,1.0,NORMAL,5,2.33,NORMAL,0,LOW
TX000003,AC00019,126.29,237.05,NORMAL,Mesa,"2023-07-10",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001683,AC00019,41.13,237.05,NORMAL,Philadelphia,"2023-03-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002086,AC00019,291.46,237.05,NORMAL,Miami,"2023-02-08",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002414,AC00019,489.31,237.05,NORMAL,Louisville,"2023-04-03",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000206,AC00020,288.04,420.89,NORMAL,Denver,"2023-08-24",2,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000404,AC00020,353.82,420.89,NORMAL,Milwaukee,"2023-04-10",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001139,AC00020,881.1,420.89,NORMAL,Phoenix,"2023-11-13",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001259,AC00020,603.23,420.89,NORMAL,Detroit,"2023-08-24",2,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001326,AC00020,359.65,420.89,NORMAL,Jacksonville,"2023-01-12",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001715,AC00020,589.64,420.89,NORMAL,Charlotte,"2023-09-21",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX001830,AC00020,91.77,420.89,NORMAL,Omaha,"2023-03-15",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX002028,AC00020,28.52,420.89,NORMAL,Detroit,"2023-06-02",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX002170,AC00020,592.24,420.89,NORMAL,Tucson,"2023-10-16",1,1.13,NORMAL,1,1.0,NORMAL,0,LOW
TX000382,AC00021,180.24,532.92,NORMAL,Phoenix,"2023-07-03",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000459,AC00021,275.92,532.92,NORMAL,Nashville,"2023-09-18",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001776,AC00021,486.61,532.92,NORMAL,Sacramento,"2023-11-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001821,AC00021,263.59,532.92,NORMAL,Dallas,"2023-01-23",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001998,AC00021,1142.83,532.92,NORMAL,Omaha,"2023-07-14",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002112,AC00021,762.74,532.92,NORMAL,Los Angeles,"2023-05-02",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002126,AC00021,416.55,532.92,NORMAL,Oklahoma City,"2023-05-05",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002149,AC00021,734.86,532.92,NORMAL,Boston,"2023-12-08",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000078,AC00022,91.53,193.92,NORMAL,Milwaukee,"2023-03-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000584,AC00022,514.33,193.92,NORMAL,Philadelphia,"2023-06-02",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001053,AC00022,168.0,193.92,NORMAL,Tucson,"2023-08-24",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001771,AC00022,1.82,193.92,NORMAL,San Francisco,"2023-04-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000271,AC00023,196.08,208.62,NORMAL,San Francisco,"2023-08-25",1,1.0,NORMAL,1,1.5,NORMAL,0,LOW
TX000617,AC00023,254.92,208.62,NORMAL,San Antonio,"2023-09-18",1,1.0,NORMAL,1,1.5,NORMAL,0,LOW
TX000670,AC00023,126.22,208.62,NORMAL,Atlanta,"2023-05-04",1,1.0,NORMAL,4,1.5,NORMAL,0,LOW
TX001358,AC00023,422.9,208.62,NORMAL,Tucson,"2023-02-27",1,1.0,NORMAL,1,1.5,NORMAL,0,LOW
TX001719,AC00023,191.89,208.62,NORMAL,San Antonio,"2023-06-27",1,1.0,NORMAL,1,1.5,NORMAL,0,LOW
TX001959,AC00023,59.73,208.62,NORMAL,Fresno,"2023-05-22",1,1.0,NORMAL,1,1.5,NORMAL,0,LOW
TX001041,AC00024,84.89,285.39,NORMAL,San Jose,"2023-05-22",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001308,AC00024,28.78,285.39,NORMAL,Tucson,"2023-08-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001387,AC00024,69.28,285.39,NORMAL,Los Angeles,"2023-10-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001471,AC00024,820.46,285.39,NORMAL,Fort Worth,"2023-04-03",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002214,AC00024,423.53,285.39,NORMAL,Kansas City,"2023-08-10",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001064,AC00025,65.26,207.69,NORMAL,Sacramento,"2023-12-08",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001807,AC00025,350.11,207.69,NORMAL,Raleigh,"2023-03-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000240,AC00026,66.5,158.69,NORMAL,Louisville,"2023-05-04",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000283,AC00026,329.69,158.69,NORMAL,San Antonio,"2023-01-09",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000638,AC00026,90.88,158.69,NORMAL,Albuquerque,"2023-02-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000698,AC00026,278.27,158.69,NORMAL,Tucson,"2023-04-10",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001513,AC00026,147.46,158.69,NORMAL,Albuquerque,"2023-10-12",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001927,AC00026,39.31,158.69,NORMAL,Portland,"2023-10-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000791,AC00027,262.06,185.85,NORMAL,Oklahoma City,"2023-09-11",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001258,AC00027,18.46,185.85,NORMAL,Charlotte,"2023-11-20",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002377,AC00027,277.02,185.85,NORMAL,Denver,"2023-11-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001438,AC00028,107.48,723.39,NORMAL,Los Angeles,"2023-02-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001580,AC00028,398.36,723.39,NORMAL,Columbus,"2023-06-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002415,AC00028,1664.33,723.39,NORMAL,San Antonio,"2023-09-25",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000350,AC00029,11.18,323.69,NORMAL,Miami,"2023-02-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000411,AC00029,390.35,323.69,NORMAL,Omaha,"2023-09-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000772,AC00029,101.19,323.69,NORMAL,Denver,"2023-11-29",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001220,AC00029,129.48,323.69,NORMAL,Seattle,"2023-02-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001860,AC00029,116.97,323.69,NORMAL,Oklahoma City,"2023-07-12",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002087,AC00029,1192.95,323.69,FLAG,Las Vegas,"2023-12-04",1,1.0,NORMAL,1,1.0,NORMAL,1,MEDIUM
TX000560,AC00030,356.1,329.97,NORMAL,Fort Worth,"2023-10-25",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX000702,AC00030,211.1,329.97,NORMAL,Miami,"2023-09-14",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX000781,AC00030,456.93,329.97,NORMAL,Virginia Beach,"2023-09-26",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX001347,AC00030,520.86,329.97,NORMAL,Sacramento,"2023-03-20",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX001474,AC00030,384.41,329.97,NORMAL,Jacksonville,"2023-04-17",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX001616,AC00030,363.84,329.97,NORMAL,Columbus,"2023-10-19",1,1.13,NORMAL,3,1.22,NORMAL,0,LOW
TX001785,AC00030,251.4,329.97,NORMAL,Tucson,"2023-07-05",1,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX001920,AC00030,76.89,329.97,NORMAL,Chicago,"2023-05-10",2,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX002498,AC00030,348.17,329.97,NORMAL,El Paso,"2023-05-10",2,1.13,NORMAL,1,1.22,NORMAL,0,LOW
TX000643,AC00032,467.13,376.07,NORMAL,Kansas City,"2023-09-28",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX000754,AC00032,1020.73,376.07,NORMAL,Fort Worth,"2023-07-24",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX001034,AC00032,43.91,376.07,NORMAL,Albuquerque,"2023-08-17",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX001137,AC00032,341.67,376.07,NORMAL,Omaha,"2023-03-06",1,1.0,NORMAL,5,1.44,FLAG,1,MEDIUM
TX001161,AC00032,388.21,376.07,NORMAL,Columbus,"2023-12-19",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX001311,AC00032,52.23,376.07,NORMAL,San Francisco,"2023-09-11",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX002044,AC00032,248.76,376.07,NORMAL,Portland,"2023-03-20",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX002368,AC00032,239.85,376.07,NORMAL,Tucson,"2023-01-26",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX002427,AC00032,582.17,376.07,NORMAL,Tucson,"2023-12-07",1,1.0,NORMAL,1,1.44,NORMAL,0,LOW
TX000286,AC00033,47.42,150.16,NORMAL,San Diego,"2023-12-19",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000532,AC00033,40.57,150.16,NORMAL,Columbus,"2023-02-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000978,AC00033,397.01,150.16,NORMAL,Los Angeles,"2023-08-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002072,AC00033,63.54,150.16,NORMAL,Dallas,"2023-05-22",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002247,AC00033,46.53,150.16,NORMAL,San Francisco,"2023-06-22",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002436,AC00033,305.92,150.16,NORMAL,El Paso,"2023-12-06",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000348,AC00034,202.11,251.98,NORMAL,Memphis,"2023-03-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000675,AC00034,637.97,251.98,NORMAL,New York,"2023-10-23",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001916,AC00034,95.35,251.98,NORMAL,Chicago,"2023-07-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002061,AC00034,72.47,251.98,NORMAL,Boston,"2023-10-17",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000176,AC00035,73.23,239.02,NORMAL,Portland,"2023-05-19",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000300,AC00035,211.18,239.02,NORMAL,Washington,"2023-10-16",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000716,AC00035,78.92,239.02,NORMAL,Jacksonville,"2023-06-15",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000878,AC00035,53.51,239.02,NORMAL,New York,"2023-10-26",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000989,AC00035,471.88,239.02,NORMAL,San Jose,"2023-10-30",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001296,AC00035,206.63,239.02,NORMAL,Oklahoma City,"2023-12-07",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001590,AC00035,70.88,239.02,NORMAL,Omaha,"2023-12-04",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001840,AC00035,813.78,239.02,FLAG,Atlanta,"2023-08-07",1,1.0,NORMAL,1,1.0,NORMAL,1,MEDIUM
TX002267,AC00035,171.16,239.02,NORMAL,New York,"2023-09-28",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000181,AC00036,740.25,321.68,NORMAL,Philadelphia,"2023-07-19",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000470,AC00036,71.95,321.68,NORMAL,Omaha,"2023-02-13",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001316,AC00036,710.43,321.68,NORMAL,San Diego,"2023-03-08",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX001814,AC00036,26.92,321.68,NORMAL,Indianapolis,"2023-05-18",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002237,AC00036,58.85,321.68,NORMAL,Milwaukee,"2023-05-15",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX000766,AC00037,79.8,126.63,NORMAL,Fort Worth,"2023-12-22",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002139,AC00037,173.45,126.63,NORMAL,Philadelphia,"2023-12-25",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
TX002301,AC00038,301.73,301.73,NORMAL,Tucson,"2023-06-27",1,1.0,NORMAL,1,1.0,NORMAL,0,LOW
